ph,turbidity,conductivity,chlorine,temperature,pressure,flow,Risk_Index,Probable_Cause
7.7,1.13,514.77,0.25,21.53,2.43,45.79,40,Stagnation
6.31,2.12,1008.51,0.66,14.6,2.9,135.2,57,Corrosion
6.68,0.39,298.72,1.09,12.28,2.58,373.28,3,Normal
7.41,1.23,307.53,0.05,22.22,2.15,33.76,68,Stagnation
7.02,0.44,339.83,1.56,14.96,2.68,341.13,13,Normal
6.83,0.54,204.03,0.6,15.59,3.22,308.57,2,Normal
7.17,0.44,252.15,0.78,13.62,3.32,317.18,0,Normal
6.67,0.56,361.49,0.8,16.84,3.31,346.56,13,Normal
6.95,0.44,433.13,1.29,13.56,2.94,244.68,8,Normal
6.04,7.63,1606.87,0.05,22.01,3.01,267.74,80,Contamination
6.14,3.73,892.83,1.27,8.14,3.13,255.22,55,Corrosion
7.38,1.25,251.24,0.08,22.71,2.94,24.82,50,Stagnation
6.96,0.4,491.54,1.1,13.41,3.15,304.85,6,Normal
7.49,0.59,367.23,0.78,10.61,1.29,85.22,30,Pression Faible
7.2,0.45,258.46,0.87,13.97,2.76,291.94,12,Normal
7.32,0.88,417.46,1.08,14.78,2.42,298.67,11,Normal
7.52,2.43,430.76,0.13,21.93,2.15,41.43,65,Stagnation
7.43,0.66,309.06,1.42,10.79,3.18,409.52,14,Normal
6.9,0.39,409.97,0.85,10.35,3.02,246.88,12,Normal
7.34,0.32,554.99,0.77,14.03,3.24,238.46,9,Normal
7.18,8.61,717.76,0.06,19.04,3.13,238.15,99,Contamination
5.94,7.04,1289.1,0.06,19.39,2.7,311.61,91,Contamination
7.29,0.36,586.58,1.14,11.43,3.2,251.27,2,Normal
7.44,0.73,317.93,1.29,16.24,3.25,394.84,7,Normal
5.9,1.9,722.1,0.56,15.77,2.94,266.6,52,Corrosion
7.66,6.03,1636.06,0.04,28.88,3.09,257.14,83,Contamination
6.88,0.6,377.65,1.21,16.42,2.98,257.66,14,Normal
6.89,0.98,535.64,0.12,19.51,2.55,33.85,51,Stagnation
6.93,0.53,405.82,0.66,16.07,3.17,354.15,11,Normal
7.52,0.22,306.22,1.15,16.54,3.15,492.64,8,Normal
6.23,3.41,1090.8,1.0,15.05,3.1,203.63,71,Corrosion
7.41,0.96,458.19,0.33,18.27,2.71,13.87,59,Stagnation
7.31,1.74,456.43,0.0,20.57,2.7,22.7,57,Stagnation
6.09,2.54,769.68,1.44,17.9,1.99,261.19,55,Corrosion
7.0,0.67,320.75,0.97,16.51,3.26,239.99,8,Normal
7.1,0.66,334.67,1.43,16.21,0.82,98.36,40,Pression Faible
8.35,1.72,298.06,0.05,24.53,2.29,34.44,47,Stagnation
7.81,0.74,444.05,0.0,19.95,2.42,17.52,66,Stagnation
6.4,1.36,811.99,0.84,20.32,2.23,319.79,51,Corrosion
7.2,0.3,446.21,1.06,13.2,3.02,280.73,1,Normal
7.09,7.32,1675.81,0.0,26.53,2.31,292.41,92,Contamination
7.38,0.56,337.73,0.94,13.52,2.82,342.48,6,Normal
7.31,0.59,489.96,0.99,17.44,1.39,63.42,38,Pression Faible
6.55,7.49,1383.11,0.05,18.47,3.28,270.42,90,Contamination
